72,90,89,25,36,90,99,47,30,20,55,7,38,87,74,51,20,83,56,66,8,63,39,45,30,16,92,36,20,12,19,74,16,36,39,92,85,6,11,38,1,70,54,54,38,11,82,38,45,76,87,52,52,36,50,32,6,67,28,16,85,34,71,22,38,84,61,71,17,18,6,99,36,55,27,53,20,88,35,44,59,56,37,54,62,68,84,44,74,53,34,70,54,84,32,81,7,98,24,74,88,75,25,36,59,65,63,77,15,22,10,9,35,94,13,72,27,10,46,5,82,55,56,15,40,23,55,55,65,93,11,21,90,68,27,95,10,38,68,84,47,57,35,2,62,81,31,19,40,51,55,4,58,41,14,10,20,75,47,76,14,2,4,17,79,52,33,40,9,71,14,5,12,72,97,50,78,30,49,18,87,87,28,88,51,67,5,95,68,8,9,37,28,17,63,5,43,22,19,2,

54,54,34,70,36,90,16,36,11,21,74,53,97,50,10,9,87,87,74,51,78,30,27,53,51,67,20,88,20,75,14,2,20,12,88,75,84,44,20,83,27,95,62,68,63,5,72,90,33,40,8,63,13,72,56,15,24,74,12,72,37,54,39,92,30,20,49,18,45,76,28,88,14,10,14,5,59,56,82,55,61,71,89,25,4,17,11,38,28,16,59,65,9,37,35,44,6,67,82,38,62,81,32,81,35,2,46,5,55,4,54,84,38,84,38,87,40,23,71,22,99,47,55,7,52,36,39,45,5,95,19,74,50,32,68,8,28,17,31,19,1,70,35,94,79,52,36,55,90,68,10,38,9,71,25,36,7,98,58,41,65,93,47,57,40,51,27,10,55,55,68,84,6,99,47,76,85,34,56,66,38,11,17,18,15,22,30,16,63,77,43,22,92,36,85,6,87,52,19,2,
33,40,45,76,43,22,55,4,78,30,6,99,85,6,85,34,47,57,20,75,11,38,24,74,51,67,20,88,35,94,5,95,68,8,1,70,38,87,8,63,13,72,34,70,62,81,36,90,25,36,58,41,52,36,56,15,72,90,39,92,65,93,40,23,71,22,88,75,28,88,30,16,97,50,59,56,35,44,11,21,10,38,47,76,17,18,49,18,37,54,54,54,14,10,28,16,16,36,82,38,62,68,20,12,10,9,63,5,9,71,59,65,99,47,92,36,27,53,31,19,61,71,27,95,36,55,14,2,55,7,87,52,56,66,74,53,79,52,68,84,87,87,55,55,50,32,19,2,90,68,89,25,12,72,7,98,35,2,9,37,4,17,40,51,32,81,28,17,46,5,54,84,82,55,84,44,39,45,14,5,30,20,20,83,38,84,19,74,63,77,6,67,38,11,74,51,27,10,15,22,
33,40,45,76,43,22,55,4,78,30,6,99,85,6,85,34,47,57,20,75,11,38,24,74,51,67,20,88,35,94,5,95,68,8,1,70,38,87,8,63,13,72,34,70,62,81,36,90,25,36,58,41,52,36,56,15,72,90,39,92,65,93,40,23,71,22,88,75,28,88,30,16,97,50,59,56,35,44,11,21,10,38,47,76,17,18,49,18,37,54,54,54,14,10,28,16,16,36,82,38,62,68,20,12,10,9,63,5,9,71,59,65,99,47,92,36,27,53,31,19,61,71,27,95,36,55,14,2,55,7,87,52,56,66,74,53,79,52,68,84,87,87,55,55,50,32,19,2,90,68,89,25,12,72,7,98,35,2,9,37,4,17,40,51,32,81,28,17,46,5,54,84,82,55,84,44,39,45,14,5,30,20,20,83,38,84,19,74,63,77,6,67,38,11,74,51,27,10,15,22,
13,72,27,95,8,63,40,51,14,5,82,55,63,5,92,36,71,22,27,10,43,22,36,90,38,84,50,32,32,81,56,66,62,68,4,17,9,37,28,88,19,74,56,15,28,16,35,2,49,18,79,52,84,44,36,55,24,74,78,30,85,6,34,70,74,53,47,76,89,25,72,90,61,71,90,68,12,72,35,44,27,53,15,22,46,5,7,98,45,76,68,84,39,92,88,75,16,36,58,41,82,38,9,71,25,36,20,83,85,34,99,47,30,16,52,36,14,10,14,2,20,12,87,52,54,54,97,50,55,55,59,65,55,4,62,81,20,88,40,23,19,2,28,17,30,20,55,7,31,19,38,87,17,18,74,51,35,94,10,38,38,11,37,54,6,67,5,95,87,87,59,56,10,9,33,40,11,21,6,99,54,84,68,8,11,38,63,77,65,93,47,57,39,45,51,67,20,75,1,70,
20,88,78,30,85,6,55,4,35,94,38,84,5,95,38,11,34,70,24,74,43,22,30,20,8,63,45,76,6,99,38,87,33,40,14,5,27,10,19,74,13,72,20,83,62,81,36,90,25,36,58,41,52,36,56,15,72,90,39,92,15,22,40,23,71,22,88,75,28,88,30,16,97,50,59,56,35,44,11,21,10,38,47,76,17,18,49,18,37,54,54,54,14,10,28,16,16,36,82,38,62,68,20,12,10,9,63,5,9,71,59,65,74,51,92,36,27,53,31,19,61,71,27,95,36,55,14,2,55,7,87,52,56,66,6,67,79,52,68,84,87,87,55,55,50,32,19,2,90,68,89,25,12,72,7,98,35,2,9,37,4,17,40,51,32,81,28,17,46,5,54,84,82,55,84,44,85,34,74,53,99,47,68,8,11,38,63,77,65,93,47,57,39,45,51,67,20,75,1,70,
19,74,34,70,36,90,39,92,11,21,47,57,97,50,37,54,58,41,30,20,78,30,62,68,51,67,20,88,9,71,14,2,20,12,24,74,10,9,8,63,56,15,13,72,20,75,7,98,16,36,27,53,12,72,45,76,49,18,84,44,74,51,6,67,27,95,40,51,79,52,33,40,14,10,14,5,59,56,82,55,61,71,89,25,4,17,11,38,28,16,59,65,63,5,35,44,54,54,82,38,62,81,32,81,35,2,46,5,55,4,54,84,38,84,38,87,40,23,71,22,99,47,55,7,52,36,39,45,5,95,20,83,50,32,68,8,28,17,31,19,1,70,35,94,74,53,36,55,28,88,10,38,25,36,65,93,87,87,90,68,9,37,72,90,88,75,27,10,55,55,68,84,6,99,47,76,85,34,56,66,38,11,17,18,15,22,30,16,63,77,43,22,92,36,85,6,87,52,19,2,
59,65,78,30,85,6,79,52,11,21,61,71,97,50,38,11,27,10,10,9,43,22,30,20,54,54,37,54,15,22,72,90,33,40,9,71,14,2,17,18,4,17,20,12,14,10,56,15,28,16,27,53,19,2,92,36,49,18,24,74,36,55,87,52,58,41,55,55,87,87,82,55,9,37,20,83,30,16,28,88,39,92,36,90,56,66,25,36,88,75,27,95,14,5,35,44,20,88,6,67,62,81,32,81,35,2,46,5,55,4,6,99,38,84,19,74,40,23,84,44,89,25,16,36,52,36,7,98,5,95,82,38,50,32,63,5,28,17,40,51,59,56,35,94,12,72,71,22,10,38,34,70,38,87,62,68,45,76,68,84,90,68,74,51,31,19,55,7,13,72,8,63,54,84,47,76,85,34,74,53,99,47,68,8,11,38,63,77,65,93,47,57,39,45,51,67,20,75,1,70,
59,65,78,30,85,6,79,52,11,21,61,71,97,50,38,11,27,10,10,9,43,22,30,20,54,54,37,54,15,22,89,25,33,40,9,71,14,2,17,18,4,17,20,12,14,10,56,15,28,16,27,53,19,2,92,36,49,18,24,74,38,84,36,55,40,51,87,87,58,41,82,55,63,5,82,38,16,36,12,72,39,92,36,90,19,74,25,36,10,38,27,95,14,5,35,44,20,88,6,67,62,81,32,81,35,2,46,5,55,4,84,44,88,75,56,66,40,23,71,22,72,90,30,16,52,36,87,52,5,95,20,83,50,32,9,37,28,17,28,88,6,99,55,55,59,56,7,98,35,94,34,70,38,87,62,68,45,76,68,84,90,68,74,51,31,19,55,7,13,72,8,63,54,84,47,76,85,34,74,53,99,47,68,8,11,38,63,77,65,93,47,57,39,45,51,67,20,75,1,70,
